Word,Prob,SpamHam
,0.451541850538,ham
benjaminmarkeyenroncom,0,ham
reallocations,0,ham
four,0.565230012718,ham
childers,0.0302575193703,ham
looking,0.838716625009,ham
electricity,0.307187126442,ham
caney,0,ham
skipping,0,ham
kemmerer,0.01,ham
lori,0.318812243633,ham
hunaid,0,ham
xto,0.01,ham
cdwr,0,ham
propane,0,ham
dynamic,0.49863404813,ham
bringing,0.57008997371,ham
basics,0,ham
internally,0.522001342782,ham
prize,0.940507395458,ham
toschoolcraft,0,ham
cashout,0.0464861858892,ham
tomactonenroncom,0.01,ham
wednesday,0.274973987291,ham
succession,0.280585906773,ham
aburrellutilicorpcom,0,ham
straight,0.555172825948,ham
midcons,0,ham
sturn,0,ham
miller,0.0320629055242,ham
perryenroncom,0,ham
second,0.793627101857,ham
available,0.645401825085,ham
sturr,0,ham
errors,0.237814187295,ham
deferred,0.21446269791,ham
fingers,0.438214890995,ham
aimeelannouenroncom,0.01,ham
greif,0.01,ham
leehuberenroncom,0,ham
increasing,0.620937031944,ham
avert,0.731913562958,ham
xacceptlanguage,0.954671306904,ham
here,0.85677317278,ham
reported,0.19598799245,ham
winfree,0,ham
corrections,0.01283381947,ham
aug,0.882044142188,ham
k,0.419123744108,ham
reports,0.819489148597,ham
poston,0,ham
military,0.874092784175,ham
gottlob,0.01,ham
criticism,0.30022072696,ham
cpetersocngccom,0,ham
explained,0.661028457388,ham
replace,0.26687221855,ham
brought,0.56718712334,ham
unix,0,ham
stackandroll,0,ham
unit,0.112496807317,ham
hoping,0.483483900263,ham
derivatives,0,ham
spoke,0.134954092571,ham
hayslett,0,ham
valdeshouectect,0,ham
coordinators,0,ham
danielkangenroncom,0,ham
music,0.923151507185,ham
therefore,0.616973105561,ham
cigtumbleweed,0,ham
leepinkstonenroncom,0,ham
until,0.481813668606,ham
drawbacks,0,ham
paperwork,0.590679630086,ham
comnesenronenronxgate,0,ham
relax,0.651822241114,ham
successful,0.927702092777,ham
brings,0.562758593058,ham
listenron,0,ham
yahoo,0.875317326036,ham
comport,0.318812243633,ham
lindawardenroncom,0.01,ham
hold,0.57008997371,ham
hoffmans,0,ham
circumstances,0.678053710136,ham
locked,0.0195270180052,ham
pursue,0.8239511121,ham
couvilloncorpenronenron,0,ham
rulings,0,ham
transok,0,ham
concepts,0.369097133249,ham
anticompetitive,0,ham
revenues,0.61175315212,ham
giron,0,ham
example,0.483483900263,ham
dickwintersavistacorpcom,0,ham
hyatt,0.0121665733719,ham
julissa,0,ham
reviewing,0.412468380537,ham
want,0.719667970206,ham
presentnet,0,ham
rogerwestfallenroncom,0,ham
ccrobertson,0,ham
feature,0.813718664531,ham
steveschneiderenroncom,0,ham
machine,0.147733739221,ham
how,0.588116322776,ham
hot,0.828657052504,ham
significance,0,ham
ronnie,0.503488509589,ham
barbra,0.318812243633,ham
janetpazenroncom,0,ham
stellamorrisenroncom,0,ham
enogex,0,ham
promotion,0.639867777618,ham
types,0.877696315679,ham
vance,0.0472914184024,ham
effective,0.246170060175,ham
assemblywoman,0,ham
joecasasenroncom,0,ham
alias,0.01,ham
kellylombardienroncom,0,ham
democratic,0.726187649442,ham
wind,0.92221899219,ham
wine,0.818979373893,ham
nonred,0,ham
ccblair,0,ham
feedback,0.0415355909238,ham
vary,0.8239511121,ham
daviddelaineyenroncom,0,ham
continentals,0,ham
jandersonclarkpudcom,0,ham
californians,0,ham
fit,0.864797784551,ham
screaming,0,ham
fix,0.30022072696,ham
revenue,0.810463829211,ham
pritchard,0.280585906773,ham
nonpublic,0,ham
conner,0.0920689381731,ham
robertwalkerenroncom,0,ham
easier,0.587386080936,ham
amyfellingenroncom,0,ham
greyed,0,ham
tiepoint,0.01,ham
silver,0.700609575483,ham
represents,0.723231980062,ham
rebeccafordenroncom,0,ham
barton,0.45026010148,ham
noticable,0,ham
nymexprices,0,ham
johndushinskeenroncom,0,ham
davidsonpdxectect,0,ham
financial,0.812629616113,ham
displacement,0,ham
contracting,0.179259033518,ham
stevejacksonenroncom,0,ham
impossible,0.785692317149,ham
substantially,0.884318072313,ham
mdq,0.01,ham
tupperware,0,ham
rp,0.0447098741144,ham
attachement,0,ham
mason,0.42563001702,ham
rd,0.601923134453,ham
re,0.298870900745,ham
encourage,0.774377204579,ham
ra,0.8239511121,ham
rc,0.609387225426,ham
bussellhouectect,0,ham
engineer,0.757290993489,ham
hpluttchardy,0,ham
sellout,0,ham
surveys,0.461799632531,ham
checked,0.461799632531,ham
estimate,0.480493746577,ham
cheryls,0,ham
shipper,0.01,ham
atc,0.01,ham
ingleside,0,ham
heading,0.461799632531,ham
ggreentxucom,0,ham
yoderenronenronxgate,0,ham
thomashouectect,0,ham
reserving,0,ham
channels,0.580637374941,ham
wash,0.539183267988,ham
cpuccdwr,0,ham
sutherland,0.189635121018,ham
service,0.834950521752,ham
dcfprod,0,ham
cchermanek,0,ham
needed,0.623481730034,ham
master,0.615248787276,ham
listed,0.376075579161,ham
hypothetical,0,ham
nngblackmarlin,0,ham
gilbert,0.412468380537,ham
rabin,0.280585906773,ham
ranging,0,ham
hewitt,0.318812243633,ham
ordway,0,ham
conneveycorpenronenron,0,ham
karenbrostadenroncom,0.01,ham
transtion,0,ham
badeerhouectect,0.01,ham
dealdeal,0.01,ham
showed,0.342116822722,ham
aproct,0,ham
interchgid,0.01,ham
tree,0.782048858914,ham
likely,0.522001342782,ham
nations,0.845207957963,ham
project,0.708771086112,ham
recheck,0,ham
maggiemathesonenroncom,0,ham
behavior,0.522001342782,ham
fancler,0,ham
